text,prompt,target,prediction,string_preds,n_token
"Sebagai bagian dari indikator , Dampak Stres Respons Covid - 19 juga dipertimbangkan , dengan Tokyo memiliki respons terbaik yang menyebabkan stres paling sedikit bagi warga nya .",ekstraksi triplet aste :,"[{'aspect': 'Tokyo', 'opinion': 'respons terbaik', 'sentiment': 'positive'}, {'aspect': 'Tokyo', 'opinion': 'menyebabkan stres paling sedikit', 'sentiment': 'positive'}]","[{'aspect': 'Respons Covid - 19', 'opinion': 'memiliki respons terbaik yang menyebabkan stres paling sedikit', 'sentiment': 'positive'}]","( Respons Covid - 19, memiliki respons terbaik yang menyebabkan stres paling sedikit, positive )",41
"Ketua Satgas Waspada Investasi Tongam Lumban Tobing berkata , aktivitas platform Binomo Cs tidak bisa dikatakan sebagai trading karena tak ada barang yang diperdagangkan di sana .",ekstraksi triplet aste :,"[{'aspect': 'platform Binomo Cs', 'opinion': 'tidak bisa dikatakan sebagai trading', 'sentiment': 'negative'}, {'aspect': 'platform Binomo Cs', 'opinion': 'tak ada barang yang diperdagangkan', 'sentiment': 'negative'}]","[{'aspect': 'aktivitas platform Binomo Cs', 'opinion': 'tidak bisa dikatakan sebagai trading', 'sentiment': 'negative'}, {'aspect': 'barang', 'opinion': 'tak ada barang yang diperdagangkan', 'sentiment': 'negative'}]","( aktivitas platform Binomo Cs, tidak bisa dikatakan sebagai trading, negative ) ; ( barang, tak ada barang yang diperdagangkan, negative )",39
Acara bergengsi itu dihadiri secara langsung oleh para nominee dan sejumlah selebritas dunia yang sebelumnya telah berpose di karpet merah .,ekstraksi triplet aste :,[],"[{'aspect': 'acara', 'opinion': 'bergengsi', 'sentiment': 'positive'}]","( acara, bergengsi, positive )",27
"Menurut Firhan , Indonesia adalah pasar kedua paling penting wisata Singapura .",ekstraksi triplet aste :,[],"[{'aspect': 'Indonesia', 'opinion': 'paling penting', 'sentiment': 'positive'}]","( Indonesia, paling penting, positive )",20
"Keputusan menunda Grammy Awards 2022 diambil lewat pertimbangan dan analisis yang cermat dengan berbagai pihak , termasuk pejabat setempat hingga sejumlah pakar kesehatan . SMTOWN LIVE 2022 menjadi konser daring Korea yang paling banyak disaksikan secara streaming .",ekstraksi triplet aste :,"[{'aspect': 'Grammy Awards 2022', 'opinion': 'menunda', 'sentiment': 'negative'}, {'aspect': 'pertimbangan', 'opinion': 'cermat', 'sentiment': 'positive'}, {'aspect': 'SMTOWN LIVE 2022', 'opinion': 'paling banyak disaksikan secara streaming', 'sentiment': 'positive'}]","[{'aspect': 'konser daring Korea', 'opinion': 'paling banyak disaksikan secara streaming', 'sentiment': 'positive'}]","( konser daring Korea, paling banyak disaksikan secara streaming, positive )",50
""" KPBU kita hitung tapi bisa menjadi beban perhitungan juga , seperti masa jabatan kepala daerah , dengan legislatif , karena ini nggak mungkin rasanya kita selesaikan dua tahun ini , "" jelas nya .",ekstraksi triplet aste :,[],"[{'aspect': 'KPBU', 'opinion': 'menjadi beban perhitungan', 'sentiment': 'negative'}]","( KPBU, menjadi beban perhitungan, negative )",51
Cocok sekali untuk para pasangan yang sedang menikmati momen bulan madu .,ekstraksi triplet aste :,[],"[{'aspect': 'pasangan', 'opinion': 'Cocok sekali', 'sentiment': 'positive'}]","( pasangan, Cocok sekali, positive )",19
"Dari petinju profesional hingga pengusaha berusia tujuh tahun , YouTuber dengan bayaran tertinggi ini telah membangun kerajaan sendiri di platform media sosial .",ekstraksi triplet aste :,[],"[{'aspect': 'bayaran', 'opinion': 'tertinggi', 'sentiment': 'positive'}]","( bayaran, tertinggi, positive )",31
"Namun mengutip Investing.com , CROFR adalah pusat regulasi pasar keuangan Rusia dan tidak bisa dilacak kebenaran klaim itu .",ekstraksi triplet aste :,"[{'aspect': 'klaim', 'opinion': 'tidak bisa dilacak kebenaran', 'sentiment': 'negative'}]","[{'aspect': 'CROFR', 'opinion': 'tidak bisa dilacak kebenaran klaim', 'sentiment': 'negative'}]","( CROFR, tidak bisa dilacak kebenaran klaim, negative )",32
"Bahkan , pada 2020 tercatat porsi impor mencapai 80 % dari total kebutuhan LPG nasional .",ekstraksi triplet aste :,"[{'aspect': 'porsi impor', 'opinion': 'mencapai 80 %', 'sentiment': 'negative'}]",[],NONE,25
