random_seed,dataset,ate_recall,ote_recall,aope_recall,uabsa_recall,aste_recall
0,14lap,0.7948164146868251,0.723404255319149,0.6543438077634011,0.6803455723542117,0.5582255083179297
0,14res,0.8632075471698113,0.8603550295857988,0.7505030181086519,0.8030660377358491,0.7173038229376257
0,15res,0.8333333333333334,0.7785087719298246,0.7237113402061855,0.7384259259259259,0.6453608247422681
0,16res,0.8827433628318584,0.8765957446808511,0.8054474708171206,0.8097345132743363,0.7490272373540856
0,hotel_id_v2,0.8208354302969301,0.7967863894139886,0.7673505019642077,0.8057625434674615,0.7586206896551724
17,14lap,0.8228941684665226,0.7680851063829788,0.6931608133086876,0.6889848812095032,0.600739371534196
17,14res,0.8490566037735849,0.8366863905325443,0.7665995975855131,0.8018867924528302,0.7233400402414487
17,15res,0.8287037037037037,0.7785087719298246,0.7030927835051546,0.7430555555555556,0.6412371134020619
17,16res,0.8849557522123894,0.8829787234042553,0.8054474708171206,0.8207964601769911,0.7645914396887159
17,hotel_id_v2,0.8173125314544539,0.8171077504725898,0.7730248799650807,0.8077496274217586,0.7625491051942384
42,14lap,0.8444924406047516,0.7808510638297872,0.6709796672828097,0.7300215982721382,0.5970425138632163
42,14res,0.8691037735849056,0.8698224852071006,0.7595573440643864,0.8113207547169812,0.710261569416499
42,15res,0.8425925925925926,0.8135964912280702,0.7216494845360825,0.75,0.6618556701030928
42,16res,0.8716814159292036,0.8787234042553191,0.7957198443579766,0.8053097345132744,0.7334630350194552
42,hotel_id_v2,0.8258681429290388,0.8114366729678639,0.7686599738105631,0.8152011922503726,0.7695329550414666
123,14lap,0.8293736501079914,0.7723404255319148,0.6709796672828097,0.714902807775378,0.5933456561922366
123,14res,0.8537735849056604,0.855621301775148,0.7605633802816901,0.7936320754716981,0.7233400402414487
123,15res,0.8333333333333334,0.8114035087719298,0.7278350515463917,0.7384259259259259,0.6556701030927835
123,16res,0.8871681415929203,0.8872340425531915,0.811284046692607,0.8207964601769911,0.7431906614785992
123,hotel_id_v2,0.813286361348767,0.8019848771266541,0.7690964644260149,0.8042722305017387,0.7586206896551724
500,14lap,0.8250539956803455,0.7659574468085106,0.6802218114602587,0.7062634989200864,0.600739371534196
500,14res,0.8525943396226415,0.8698224852071006,0.7595573440643864,0.8113207547169812,0.7253521126760564
500,15res,0.8564814814814815,0.8092105263157895,0.7319587628865979,0.7708333333333334,0.6659793814432989
500,16res,0.8827433628318584,0.8872340425531915,0.7957198443579766,0.8097345132743363,0.7334630350194552
500,hotel_id_v2,0.8213387015601409,0.8142722117202268,0.772588389349629,0.8102334823646299,0.7673505019642077
